cs_word_1,cs_word_2,average
Arafat,Jackson,2.4
Arafat,mír,0.6
Arafat,terorismus,1.3
FBI,otisk prstu,1.3
FBI,vyšetřování,2.9
Harvard,Yale,4.7
Japonec,Američan,4.2
Jeruzalém,Izrael,5.1
Jeruzalém,Palestinec,1.1
Maradona,fotbal,2.0
Mars,voda,0.5
Mars,vědec,0.8
Mexiko,Brazílie,4.4
OPEC,ropa,3.1
OPEC,země,1.0
akcie,trh,3.7
akord,úsměv,0.5
alkohol,chemie,2.5
architektura,století,0.7
atmosféra,krajina,3.5
auto,automobil,9.9
auto,let,1.2
banka,peníze,2.5
basebal,sezóna,1.7
biskup,rabín,5.4
blázinec,cvokárna,9.3
box,kolo,0.8
bratr,mnich,5.2
břeh,zalesnění,1.3
cesta,automobil,1.5
cesta,putování,5.88888888889
cestování,činnost,2.5
chlapec,hoch,9.5
chlapec,čaroděj,3.8
chleba,máslo,3.1
chytrý,hloupý,3.6
chytrý,student,1.1
cukr,přístup,0.0
den,léto,2.9
den,úsvit,4.1
divadlo,historie,1.4
dividenda,platba,6.2
dividenda,výpočet,1.5
divák,seriál,2.0
dobrovolník,moto,0.2
doktor,personál,3.8
doktor,riziko,0.9
doktor,sestra,3.4
dolar,doláč,9.0
dolar,yen,5.1
dolar,zisk,3.7
dolar,ztráta,0.8
droga,zneužívání,1.4
dřevo,les,2.9
energie,krize,1.3
energie,laboratoř,0.444444444444
energie,tajemník,0.1
exponát,memorabilia,3.6
film,divadlo,4.2
film,hvězda,1.6
film,kritik,1.0
film,popkorn,2.1
fotbal,basketbal,4.3
fotbal,kopaná,9.5
fotbal,tenis,4.1
fyzika,chemie,5.1
fyzika,proton,1.9
guvernér,rozhovor,0.4
guvernér,úřad,2.9
hliník,kov,6.1
hoch,bratr,4.4
hotel,rezervace,1.4
hra,kolo,2.6
hra,porážka,2.7
hra,série,2.7
hra,tým,2.6
hra,vítězství,3.4
hrnek,káva,3.3
hrnek,látka,1.2
hrnek,pít,1.2
hrnek,příbory,2.8
hrnek,tekutina,1.9
hudba,projekt,2.2
humr,jídlo,5.2
humr,víno,2.2
hřbitov,zalesnění,0.4
invalidita,smrt,2.6
inventář,CD,1.7
investor,výdělek,1.11111111111
jaguár,auto,4.3
jaguár,kočka,4.8
jeřáb,nářadí,3.2
jídlo,kohout,3.5
jídlo,ovoce,6.2
jídlo,příprava,0.8
kapalina,voda,7.0
kaňon,krajina,4.5
klenot,šperk,8.9
kniha,knihovna,3.4
kniha,papír,3.4
kohout,výprava,0.0
koncert,virtuos,3.3
kouzelník,čaroděj,9.3
kreditní,karta,1.3
krevety,jídlo,4.5
král,kapusta,0.1
král,královna,4.9
král,věž,1.7
kůže,oko,1.9
les,hřbitov,2.6
letadlo,auto,3.1
linka,pojištění,1.1
luxus,auto,2.3
láska,sex,4.2
léto,příroda,1.4
léto,sucho,3.1
léčba,zotavení,6.6
maratón,sprint,4.6
milenec,hádka,1.0
miminko,matka,2.9
ministerstvo,kultura,1.6
ministr,strana,2.2
minorita,mír,0.1
mnich,otrok,1.9
mnich,věštba,0.7
mobil,telefon,9.4
moralita,manželství,1.5
moralita,význam,1.1
mořské plody,humr,6.1
možnost,dívka,0.5
mrtvice,nemocnice,1.3
muzeum,divadlo,4.1
muž,guvernér,5.1
muž,žena,4.3
média,obchodování,1.1
média,rozhlas,4.5
média,výtěžek,0.3
míle,kilometr,6.6
mír,atmosféra,1.7
mír,plán,0.8
mír,pojištění,1.0
mýdlová,opera,0.5
měna,trh,3.0
měsíc,hotel,0.1
měřítko,index,3.7
nasazení,stažení,2.5
nemocnice,infrastruktura,1.7
nestrannost,zájem,2.5
noviny,zpráva,5.3
nářadí,nástroj,7.7
objev,vesmír,1.5
oběť,nebezpečí,1.4
okurka,brambor,4.4
opera,průmysl,0.4
opera,vystoupení,5.4
