cs_word_1,cs_word_2,average
administrativa,řízení,6.6875
advokát,právník,8.37142857143
agrese,nepřátelství,6.25
akademie,profese,4.5
akademie,třída,6.2125
akce,kurz,5.22222222222
alkohol,brandy,7.3
alkohol,gin,7.6625
alkohol,koktejl,6.25
alkohol,víno,7.33333333333
alkohol,whisky,7.66666666667
analyzovat,vyhodnotit,7.725
anarchie,chaos,7.6
anatomie,biologie,7.31111111111
arcibiskup,biskup,8.23333333333
argument,dohoda,4.0625
argument,kritika,5.1625
argumentovat,dokázat,6.0
argumentovat,lišit,3.125
argumentovat,odůvodnit,8.27777777778
argumentovat,ospravedlnit,5.55555555556
argumentovat,přesvědčit,7.11111111111
aritmetika,rytmus,1.25555555556
armáda,legie,7.26666666667
armáda,oddíl,7.125
atom,uhlík,5.6125
auto,dálnice,6.06666666667
auto,hadice,2.77777777778
auto,klakson,6.11111111111
auto,kolo,6.72222222222
auto,most,2.9125
auto,měřidlo,2.5
auto,taxík,7.275
auto,továrna,3.77777777778
auto,výtah,2.85
auto,vůz,8.4
autor,tvůrce,9.25555555556
autor,čtenář,7.3375
balada,píseň,7.325
basketbal,baseball,7.74444444444
bestie,zvíře,7.33333333333
bezútěšný,tupý,2.06666666667
bible,chvalozpěv,5.55555555556
bitva,dobytí,6.47777777778
bizarní,zvláštní,9.26666666667
bláto,špína,7.55
bohatství,chudoba,7.4875
bohatství,prestiž,6.44444444444
bohatství,sláva,6.825
bok,ret,5.4375
bolest,újma,6.375
bouře,hurikán,7.925
bratr,duše,2.16666666667
bratr,syn,6.25
bratranec,strýc,6.8
bratrství,baseball,1.51111111111
bratrství,dveře,0.266666666667
bublina,pěna,7.05
byt,hotel,5.8
byt,nábytek,3.88888888889
báječný,skvělý,9.075
báječný,úžasný,8.875
břicho,břicho,10.0
bůh,duch,4.85
bůh,kněz,4.91428571429
bůh,oběť,2.5
bůh,ďábel,7.5625
cent,manželka,0.4
cent,velikost,2.22222222222
cesta,dobytí,2.42222222222
cesta,výlet,6.9875
cesta,způsob,5.33333333333
chalupa,chata,8.1
chata,chatrč,8.1
chemie,teorie,4.575
chlapec,bratr,6.0
chléb,mouka,6.36666666667
chléb,sýr,5.33333333333
chodba,koridor,8.48888888889
chodidlo,hlava,6.0625
chovat,dodržovat,5.3
chránit,bránit,8.36666666667
chtít,vybrat,5.05555555556
chvalozpěv,dobytí,2.03333333333
chvalozpěv,sláma,0.125
chytrý,inteligentní,8.7375
