Word 1,Word 2,Human (Mean)
admission,ticket,5.846
alcohol,chemistry,1.154
aluminum,metal,6.286
announcement,effort,2.000
announcement,news,7.077
announcement,production,1.929
announcement,warning,6.462
Arafat,Jackson,2.000
Arafat,peace,0.929
Arafat,terror,1.615
architecture,century,1.071
arrangement,accommodation,5.643
arrival,hotel,1.067
asylum,madhouse,8.154
atmosphere,landscape,2.733
attempt,peace,1.333
baby,mother,2.000
bank,money,3.214
baseball,season,1.667
bed,closet,2.308
benchmark,index,5.067
bird,cock,5.143
bird,crane,5.357
bishop,rabbi,6.154
board,recommendation,1.077
book,library,2.462
book,paper,4.571
boxing,round,2.615
boy,lad,8.000
bread,butter,3.500
brother,monk,5.769
calculation,computation,7.857
canyon,landscape,5.133
car,automobile,9.000
car,flight,0.692
cell,phone,7.143
cemetery,woodland,2.000
century,nation,0.429
century,year,5.154
championship,tournament,7.308
chance,credibility,1.923
change,attitude,2.385
chord,smile,0.615
closet,clothes,2.214
coast,forest,1.800
coast,hill,3.000
coast,shore,8.846
company,stock,2.786
competition,price,1.500
computer,internet,2.714
computer,keyboard,3.857
computer,laboratory,1.846
computer,news,2.143
computer,software,4.143
concert,virtuoso,2.643
consumer,confidence,1.200
consumer,energy,1.786
country,citizen,1.462
crane,implement,1.733
credit,card,3.429
credit,information,1.500
cucumber,potato,4.643
cup,article,0.667
cup,artifact,2.000
cup,coffee,3.769
cup,drink,4.615
cup,entity,1.231
cup,food,2.071
cup,liquid,2.000
cup,object,3.333
cup,substance,1.154
cup,tableware,5.385
currency,market,2.867
day,dawn,3.500
day,summer,1.643
death,inmate,0.769
death,row,0.692
decoration,valor,2.143
delay,news,1.071
delay,racism,0.267
deployment,departure,5.429
deployment,withdrawal,3.200
development,issue,3.643
direction,combination,0.692
disability,death,2.214
disaster,area,1.500
discovery,space,2.538
dividend,calculation,3.071
dividend,payment,6.231
doctor,liability,2.357
doctor,nurse,4.500
doctor,personnel,1.923
dollar,buck,8.846
dollar,loss,1.571
dollar,profit,3.692
dollar,yen,2.538
drink,car,0.308
drink,ear,0.077
drink,eat,4.692
drink,mother,0.267
drink,mouth,2.385
drug,abuse,2.538
energy,crisis,2.000
energy,laboratory,1.500
energy,secretary,0.769
environment,ecology,6.133
equipment,maker,1.462
exhibit,memorabilia,4.769
experience,music,1.923
family,planning,1.533
FBI,fingerprint,1.769
FBI,investigation,3.077
fertility,egg,2.667
fighting,defeating,3.357
five,month,0.308
focus,life,1.154
food,fruit,5.857
food,preparation,3.077
food,rooster,3.154
football,basketball,2.929
football,soccer,8.615
football,tennis,4.769
forest,graveyard,1.000
fuck,sex,7.929
furnace,stove,7.462
game,defeat,2.714
game,round,4.857
game,series,3.571
game,team,3.692
game,victory,2.462
gem,jewel,8.385
gender,equality,1.769
glass,magician,0.538
glass,metal,3.214
government,crisis,1.385
governor,interview,0.571
governor,office,2.385
grocery,money,1.615
Harvard,Yale,5.429
holy,sex,1.200
hospital,infrastructure,2.500
hotel,reservation,2.571
hundred,percent,2.231
image,surface,3.000
impartiality,interest,2.308
investigation,effort,2.533
investor,earning,3.000
jaguar,car,4.933
jaguar,cat,5.143
Japanese,American,4.615
Jerusalem,Israel,5.000
