cs_word_1,cs_word_2,average
administrativa,řízení,4.125
advokát,právník,7.625
agrese,nepřátelství,6.0
akademie,profese,1.625
akademie,třída,2.75
akce,kurz,3.875
alkohol,brandy,5.5
alkohol,gin,5.75
alkohol,koktejl,5.625
alkohol,víno,6.0
alkohol,whisky,5.875
analyzovat,vyhodnotit,6.25
anarchie,chaos,6.66666666667
anatomie,biologie,4.375
arcibiskup,biskup,5.75
argument,dohoda,2.875
argument,kritika,3.875
argumentovat,dokázat,5.0
argumentovat,lišit,1.875
argumentovat,odůvodnit,6.375
argumentovat,ospravedlnit,4.25
argumentovat,přesvědčit,6.625
aritmetika,rytmus,1.0
armáda,legie,6.5
armáda,oddíl,4.625
atom,uhlík,2.5
auto,dálnice,1.25
auto,hadice,0.625
auto,klakson,2.0
auto,kolo,3.125
auto,most,1.0
auto,měřidlo,0.875
auto,taxík,6.375
auto,továrna,0.625
auto,výtah,1.125
auto,vůz,9.25
autor,tvůrce,8.375
autor,čtenář,2.125
balada,píseň,6.125
basketbal,baseball,4.125
bestie,zvíře,6.0
bezútěšný,tupý,1.55555555556
bible,chvalozpěv,1.75
bitva,dobytí,4.0
bizarní,zvláštní,8.0
bláto,špína,5.625
bohatství,chudoba,4.0
bohatství,prestiž,4.5
bohatství,sláva,4.125
bok,ret,0.75
bolest,újma,4.5
bouře,hurikán,6.375
bratr,duše,0.75
bratr,syn,3.375
bratranec,strýc,3.25
bratrství,baseball,0.375
bratrství,dveře,0.25
bublina,pěna,4.875
byt,hotel,3.375
byt,nábytek,2.625
báječný,skvělý,9.11111111111
báječný,úžasný,8.77777777778
břicho,břicho,10.0
bůh,duch,2.33333333333
bůh,kněz,2.125
bůh,oběť,1.25
bůh,ďábel,3.125
cent,manželka,0.25
cent,velikost,0.5
cesta,dobytí,1.0
cesta,výlet,5.5
cesta,způsob,5.0
chalupa,chata,7.75
chata,chatrč,7.625
chemie,teorie,2.0
chlapec,bratr,5.875
chléb,mouka,2.125
chléb,sýr,2.375
chodba,koridor,7.0
chodidlo,hlava,2.0
chovat,dodržovat,3.875
chránit,bránit,7.625
chtít,vybrat,1.875
chvalozpěv,dobytí,0.625
chvalozpěv,sláma,0.25
chytrý,inteligentní,7.77777777778
chytrý,pitomý,2.77777777778
chápat,uspokojit,2.5
chřipka,horečka,5.75
citrón,čaj,2.125
cukr,med,3.5
céva,žíla,5.375
cíl,úkol,6.0
cín,hliník,4.0
cín,kov,4.75
datum,kalendář,3.5
dav,průvod,4.75
dav,skupina,6.875
daň,příjem,2.75
dcera,dítě,7.125
den,ráno,3.375
den,úsvit,4.0
desetiletí,století,3.375
destrukce,konstrukce,2.0
dieta,jablko,1.875
dieta,salát,1.5
disk,počítač,2.375
diskutovat,vysvětlit,4.25
diskuze,argument,4.625
divný,normální,2.66666666667
divný,podivný,8.66666666667
divný,zvláštní,7.66666666667
dlouhý,úzký,1.77777777778
dlužit,půjčit,3.125
dobytek,hovězí,4.5
dokončit,stát,1.375
doktor,nálada,0.375
doktor,ortodentista,5.875
doktor,profesor,5.375
dolar,lidé,0.5
domov,stát,2.875
dorazit,odejít,1.75
dorazit,přijít,7.875
doručit,nést,5.375
dospělý,miminko,2.25
dospělý,poručník,5.0
dostat,koupit,3.125
dostat,položit,1.16666666667
dostat,zůstat,1.375
dosáhnout,dosáhnout,10.0
dosáhnout,uspět,6.875
dosáhnout,zkusit,1.625
drobný,obrovský,3.22222222222
drsný,frigidní,1.22222222222
