cs_word_1,cs_word_2,average
Arafat,Jackson,2.05128205128
Arafat,peace,2.575
Arafat,terror,3.125
FBI,fingerprint,3.21052631579
FBI,investigation,4.78947368421
Harvard,Yale,5.71794871795
Japanese,American,3.875
Jerusalem,Israel,5.89743589744
Jerusalem,Palestinian,4.9
Maradona,football,3.625
Mars,scientist,2.86842105263
Mars,water,1.81578947368
Mexico,Brazil,4.6
OPEC,country,2.525
OPEC,oil,4.48717948718
Wednesday,news,1.53846153846
admission,ticket,4.61538461538
alcohol,chemistry,3.30769230769
aluminum,metal,6.75
announcement,effort,2.10526315789
announcement,news,6.86842105263
announcement,production,2.025
announcement,warning,4.94871794872
architecture,century,2.125
arrangement,accommodation,4.275
arrival,hotel,2.23684210526
asylum,madhouse,7.2
atmosphere,landscape,2.74285714286
attempt,peace,1.66666666667
baby,mother,4.17948717949
bank,money,5.58974358974
baseball,season,3.125
bed,closet,2.775
benchmark,index,3.97435897436
bird,cock,5.525
bird,crane,5.33333333333
bishop,rabbi,5.4
board,recommendation,2.17948717949
book,library,5.475
book,paper,5.275
boxing,round,3.575
boy,lad,7.825
bread,butter,3.82051282051
brother,monk,4.82857142857
calculation,computation,6.4
canyon,landscape,4.175
car,automobile,8.6
car,flight,2.65789473684
cell,phone,6.05555555556
cemetery,woodland,2.1
century,nation,1.65
century,year,4.725
championship,tournament,6.9
chance,credibility,2.025
change,attitude,2.45714285714
chord,smile,1.65789473684
closet,clothes,4.175
coast,forest,3.48571428571
coast,hill,2.5641025641
coast,shore,7.35
company,stock,4.15
competition,price,2.425
computer,internet,5.07692307692
computer,keyboard,4.1
computer,laboratory,3.12820512821
computer,news,2.63157894737
computer,software,5.0
concert,virtuoso,4.10256410256
consumer,confidence,2.44736842105
consumer,energy,2.30769230769
country,citizen,3.675
crane,implement,2.55
credit,card,3.79487179487
credit,information,2.77142857143
cucumber,potato,4.3
cup,article,1.675
cup,artifact,2.825
cup,coffee,4.35897435897
cup,drink,4.725
cup,entity,1.63157894737
cup,food,2.95
cup,liquid,3.225
cup,object,3.825
cup,substance,2.55
cup,tableware,5.175
currency,market,3.75
day,dawn,4.375
day,summer,2.875
death,inmate,2.15384615385
death,row,3.1
decoration,valor,2.875
delay,news,1.45
delay,racism,1.175
deployment,departure,4.76923076923
deployment,withdrawal,2.82051282051
development,issue,3.15789473684
direction,combination,1.9
disability,death,2.4358974359
disaster,area,2.5641025641
discovery,space,3.53846153846
dividend,calculation,3.51282051282
dividend,payment,5.775
doctor,liability,2.31578947368
doctor,nurse,5.3
doctor,personnel,3.52631578947
dollar,buck,7.65
dollar,loss,2.625
dollar,profit,4.5
dollar,yen,5.725
drink,car,1.30769230769
drink,ear,1.1
drink,eat,4.725
drink,mother,1.575
drink,mouth,3.5
drug,abuse,3.07692307692
energy,crisis,2.625
energy,laboratory,2.325
energy,secretary,1.45
environment,ecology,6.0
equipment,maker,2.8
exhibit,memorabilia,3.55263157895
experience,music,2.825
family,planning,2.275
fertility,egg,4.6
fighting,defeating,4.85
five,month,1.425
focus,life,1.94736842105
food,fruit,6.0
food,preparation,3.0
food,rooster,2.7
football,basketball,4.6
football,soccer,7.51282051282
football,tennis,4.475
forest,graveyard,2.35897435897
fuck,sex,7.53846153846
furnace,stove,6.55
game,defeat,3.35
game,round,4.64102564103
game,series,4.05128205128
game,team,4.35
game,victory,4.4358974359
gem,jewel,7.6
gender,equality,3.07692307692
glass,magician,1.575
glass,metal,3.0
government,crisis,2.825
governor,interview,1.8
governor,office,4.25
grocery,money,1.97435897436
holy,sex,1.225
hospital,infrastructure,4.02564102564
hotel,reservation,3.79487179487
hundred,percent,3.52631578947
image,surface,2.4358974359
impartiality,interest,2.5
investigation,effort,3.125
investor,earning,3.7
jaguar,car,4.975
jaguar,cat,5.975
journal,association,2.1
journey,car,3.175
journey,voyage,7.625
king,cabbage,1.26315789474
king,queen,5.45
king,rook,3.325
lad,brother,3.95
lad,wizard,2.66666666667
law,lawyer,5.42424242424
lawyer,evidence,3.25641025641
liability,insurance,4.79487179487
life,death,4.34210526316
life,lesson,3.23076923077
life,term,2.75
line,insurance,1.59459459459
liquid,water,6.10810810811
listing,category,4.40540540541
listing,proximity,2.225
lobster,food,5.65
lobster,wine,2.15384615385
love,sex,5.575
lover,quarrel,2.41176470588
luxury,car,3.46153846154
magician,wizard,6.775
man,governor,4.175
man,woman,5.3
marathon,sprint,5.25
media,gain,1.65
media,radio,5.41025641026
media,trading,1.71794871795
midday,noon,8.02564102564
mile,kilometer,6.325
minister,party,2.225
ministry,culture,2.28947368421
minority,peace,1.725
money,bank,5.15
money,cash,8.12820512821
money,cash,8.51282051282
money,currency,8.0
money,deposit,4.575
money,dollar,7.4
money,laundering,3.2
money,operation,1.925
money,possession,3.71794871795
money,property,4.05263157895
money,wealth,6.26315789474
money,withdrawal,3.62162162162
monk,oracle,2.72972972973
monk,slave,2.325
month,hotel,1.33333333333
morality,importance,2.71052631579
morality,marriage,2.7
movie,critic,3.25
movie,popcorn,3.625
movie,star,3.425
movie,theater,5.51351351351
murder,manslaughter,6.79487179487
museum,theater,4.075
music,project,2.8
nature,environment,7.3
nature,man,2.9
network,hardware,3.82051282051
news,report,5.82051282051
noon,string,1.25641025641
observation,architecture,1.75
oil,stock,2.87179487179
opera,industry,1.6
opera,performance,4.75
peace,atmosphere,2.33333333333
peace,insurance,1.6
peace,plan,2.05
phone,equipment,3.87179487179
physics,chemistry,5.25
physics,proton,4.5
plane,car,3.97435897436
planet,astronomer,4.12820512821
planet,constellation,4.30769230769
planet,galaxy,5.6
planet,moon,5.825
planet,people,2.45
planet,space,5.05
planet,star,5.025
planet,sun,5.425
population,development,2.81578947368
possibility,girl,1.425
practice,institution,2.625
precedent,antecedent,4.6
precedent,cognition,1.86842105263
precedent,collection,1.75
precedent,example,4.0
precedent,group,1.725
precedent,information,2.925
precedent,law,3.85
prejudice,recognition,1.9
preservation,world,2.375
president,medal,1.7
problem,airport,1.64102564103
problem,challenge,6.28205128205
production,crew,3.65789473684
production,hike,1.64102564103
professor,cucumber,1.0
professor,doctor,4.84615384615
profit,loss,3.97435897436
profit,warning,1.95
psychology,Freud,4.38461538462
psychology,anxiety,3.5641025641
psychology,clinic,3.28947368421
psychology,cognition,3.45
psychology,depression,3.76923076923
psychology,discipline,3.35
psychology,doctor,3.85
psychology,fear,3.175
psychology,health,4.15
psychology,mind,4.89189189189
psychology,psychiatry,5.91428571429
psychology,science,5.18421052632
reason,criterion,4.675
reason,hypertension,1.33333333333
record,number,3.825
registration,arrangement,2.5
report,gain,2.13157894737
rock,jazz,4.85
rooster,voyage,1.45
school,center,2.875
seafood,food,6.41025641026
seafood,lobster,6.6
seafood,sea,4.025
secretary,senate,2.675
seven,series,2.025
shore,woodland,2.7
shower,flood,3.625
shower,thunderstorm,4.0
sign,recess,1.85
situation,conclusion,2.92307692308
situation,isolation,1.95
size,prominence,3.28205128205
skin,eye,2.925
smart,student,3.675
smart,stupid,4.15384615385
soap,opera,3.20512820513
space,chemistry,2.675
space,world,5.16216216216
start,match,2.05
start,year,1.6
stock,CD,2.73684210526
stock,egg,1.5641025641
stock,jaguar,1.4358974359
stock,life,2.125
stock,live,2.3
stock,market,4.52631578947
stock,phone,1.78947368421
street,avenue,7.28205128205
street,block,5.8
street,children,1.55
street,place,4.11764705882
stroke,hospital,3.4358974359
student,professor,3.925
sugar,approach,1.12820512821
summer,drought,3.4
summer,nature,3.425
telephone,communication,5.02564102564
television,film,5.55
television,radio,4.675
tennis,racket,4.05263157895
territory,kilometer,2.1
territory,surface,3.475
theater,history,2.07894736842
tiger,animal,6.9
tiger,carnivore,6.05
tiger,cat,6.325
tiger,fauna,3.89189189189
tiger,feline,5.8
tiger,jaguar,5.6
tiger,mammal,6.05
tiger,organism,3.45
tiger,tiger,9.375
tiger,zoo,3.9
tool,implement,3.725
train,car,4.4
travel,activity,3.475
treatment,recovery,5.0
type,kind,6.625
victim,emergency,3.38461538462
video,archive,3.425
viewer,serial,1.61538461538
vodka,brandy,5.41025641026
vodka,gin,5.58974358974
volunteer,motto,1.7
war,troops,5.0
water,seepage,3.45
weapon,secret,2.37837837838
weather,forecast,5.275
wood,forest,6.71052631579
word,similarity,2.025
