cs_word_1,cs_word_2,average
administrativa,řízení,4.770114942528735
advokát,právník,8.160919540229886
agrese,nepřátelství,5.654761904761904
akademie,profese,2.873563218390805
akademie,třída,1.964285714285714
akce,kurz,2.93103448275862
alkohol,brandy,5.059523809523809
alkohol,gin,5.402298850574711
alkohol,koktejl,4.107142857142857
alkohol,víno,5.459770114942529
alkohol,whisky,5.059523809523808
analyzovat,vyhodnotit,7.261904761904762
anarchie,chaos,6.845238095238096
anatomie,biologie,4.655172413793103
arcibiskup,biskup,6.190476190476192
argument,dohoda,1.0714285714285716
argument,kritika,3.1034482758620694
argumentovat,dokázat,5.238095238095238
argumentovat,lišit,0.8045977011494251
argumentovat,odůvodnit,7.988505747126437
argumentovat,ospravedlnit,3.7499999999999996
argumentovat,přesvědčit,6.379310344827585
aritmetika,rytmus,0.6321839080459768
armáda,legie,6.724137931034483
armáda,oddíl,3.7931034482758617
atom,uhlík,3.0952380952380953
auto,dálnice,1.3793103448275863
auto,hadice,0.0
auto,klakson,1.3793103448275856
auto,kolo,1.6071428571428565
auto,most,0.34482758620689646
auto,měřidlo,0.3571428571428571
auto,taxík,4.482758620689655
auto,továrna,0.6547619047619049
auto,výtah,0.11904761904761904
auto,vůz,8.630952380952381
autor,tvůrce,8.39080459770115
autor,čtenář,1.3095238095238095
balada,píseň,5.6321839080459775
basketbal,baseball,1.904761904761904
bestie,zvíře,5.344827586206898
bezútěšný,tupý,0.8045977011494252
bible,chvalozpěv,1.6666666666666665
bitva,dobytí,4.4642857142857135
bizarní,zvláštní,7.916666666666667
bláto,špína,6.091954022988505
bohatství,chudoba,0.17857142857142858
bohatství,prestiž,3.678160919540231
bohatství,sláva,3.392857142857143
bok,ret,0.5172413793103448
bolest,újma,5.057471264367816
bouře,hurikán,6.190476190476192
bratr,duše,0.34482758620689646
bratr,syn,1.8390804597701147
bratranec,strýc,1.7261904761904758
bratrství,baseball,0.23809523809523808
bratrství,dveře,0.11904761904761904
bublina,pěna,5.172413793103448
